method	ds_points	count	mean_loss	std_loss	mean_cd_x2y	mean_cd_y2x
FPS	100	2468	0.00791163	0.00373259	0.00779498	0.00011665
FPS	200	2468	0.00415688	0.00199462	0.00404305	0.00011384
FPS	300	2468	0.00287539	0.00138313	0.00276241	0.00011298
FPS	400	2468	0.00211642	0.00105030	0.00211641	0.00000001
FPS	500	2468	0.00172280	0.00085827	0.00172279	0.00000001
FPS	600	2468	0.00153496	0.00073794	0.00142328	0.00011168
FPS	700	2468	0.00136131	0.00064496	0.00124979	0.00011152
FPS	800	2468	0.00119861	0.00056293	0.00108712	0.00011149
FPS	900	2468	0.00101441	0.00048390	0.00095075	0.00006366
FPS	1000	2468	0.00089010	0.00042196	0.00083280	0.00005730
SHAP	100	2468	0.00667323	0.00326465	0.00598317	0.00069006
SHAP	200	2468	0.00485096	0.00236179	0.00428321	0.00056775
SHAP	300	2468	0.00256831	0.00127615	0.00214944	0.00041888
SHAP	400	2468	0.00198667	0.00099279	0.00161043	0.00037624
SHAP	500	2468	0.00162606	0.00081443	0.00127193	0.00035413
SHAP	600	2468	0.00186922	0.00094023	0.00139636	0.00047287
SHAP	700	2468	0.00161619	0.00080659	0.00117585	0.00044034
SHAP	800	2468	0.00140743	0.00069833	0.00100430	0.00040312
SHAP	900	2468	0.00122002	0.00060277	0.00086451	0.00035550
SHAP	1000	2468	0.00077237	0.00037628	0.00054683	0.00022554
