N,r_norm_mean_sdglm,r_norm_std_sdglm,count_sdglm,r_norm_mean_fps,r_norm_std_fps,count_fps,cov_score_mean_sdglm,cov_score_mean_fps,delta_r_norm_sdglm_minus_fps,delta_cov_score_sdglm_minus_fps
100,nan,nan,0,nan,nan,0,nan,nan,nan,nan
200,nan,nan,0,nan,nan,0,nan,nan,nan,nan
300,0.12806317474153542,0.04291133334425586,2468,0.04129470179432078,0.010177287371274164,2468,0.8719368252584646,0.9587052982056792,0.08676847294721464,-0.08676847294721457
400,0.10090168778131517,0.031099864601144164,2468,0.035419492799203464,0.008790200575685296,2468,0.8990983122186849,0.9645805072007966,0.0654821949821117,-0.06548219498211172
500,0.08672813358949169,0.02494016788601168,2468,0.03136036616803814,0.007835985082302238,2468,0.9132718664105083,0.9686396338319618,0.05536776742145355,-0.05536776742145355
600,0.08014309199465423,0.02265455741938007,2468,0.028441502693583916,0.007159465015395793,2468,0.9198569080053458,0.9715584973064161,0.051701589301070314,-0.05170158930107027
700,0.0748080482363995,0.02168764440754212,2468,0.02626781919973992,0.006657593497527532,2468,0.9251919517636005,0.97373218080026,0.04854022903665958,-0.048540229036659555
800,0.06952324972883334,0.02126758748089546,2468,0.02459355812309367,0.0062689744353523,2468,0.9304767502711666,0.9754064418769063,0.04492969160573967,-0.044929691605739674
900,0.06431302246992109,0.02091206686963605,2468,0.023244832494786816,0.005953650023928843,2468,0.9356869775300789,0.9767551675052132,0.04106818997513427,-0.041068189975134284
1000,0.05943283184128444,0.020477427385056465,2468,0.022113120144833433,0.0056845030226974095,2468,0.9405671681587155,0.9778868798551665,0.03731971169645101,-0.037319711696450986
