N,r_norm_mean_sdglm,r_norm_std_sdglm,count_sdglm,r_norm_mean_fps,r_norm_std_fps,count_fps,cov_score_mean_sdglm,cov_score_mean_fps,delta_r_norm_sdglm_minus_fps,delta_cov_score_sdglm_minus_fps
100,0.32154352406789244,0.10421008894163762,2468,0.07266223828818036,0.01718079167913439,2468,0.6784564759321076,0.9273377617118197,0.24888128577971208,-0.24888128577971214
200,0.21522112932433277,0.07275178257414838,2468,0.05096351268407273,0.012394156645429937,2468,0.7847788706756672,0.9490364873159273,0.16425761664026003,-0.16425761664026006
300,0.1351029361432063,0.04319483089441897,2468,0.04129470179432078,0.010177287371274164,2468,0.8648970638567937,0.9587052982056792,0.09380823434888551,-0.09380823434888552
400,0.09821210222431864,0.028531514583182777,2468,0.035419492799203464,0.008790200575685296,2468,0.9017878977756814,0.9645805072007966,0.06279260942511518,-0.06279260942511522
500,0.08669220184592541,0.024938293228330046,2468,0.03136036616803814,0.007835985082302238,2468,0.9133077981540746,0.9686396338319618,0.05533183567788727,-0.05533183567788724
600,0.08035185066834107,0.022732081882603526,2468,0.028441502693583916,0.007159465015395793,2468,0.919648149331659,0.9715584973064161,0.051910347974757146,-0.05191034797475713
700,0.07531412505956817,0.022064151512451457,2468,0.02626781919973992,0.006657593497527532,2468,0.9246858749404319,0.97373218080026,0.04904630585982825,-0.049046305859828165
800,0.07004111075325996,0.02156665129876957,2468,0.02459355812309367,0.0062689744353523,2468,0.9299588892467401,0.9754064418769063,0.04544755263016629,-0.0454475526301662
900,0.06500573027404502,0.0215191276737988,2468,0.023244832494786816,0.005953650023928843,2468,0.934994269725955,0.9767551675052132,0.041760897779258205,-0.04176089777925818
1000,0.06010307793523369,0.021272625308256386,2468,0.022113120144833433,0.0056845030226974095,2468,0.9398969220647663,0.9778868798551665,0.03798995779040025,-0.037989957790400264
