Method	Point_Count	Average	Min	Max	Std	PSNR
HyCov-SD	100	0.018082	0.000000	0.041148	0.007091	42.5004
HyCov-SD	200	0.012448	0.000000	0.030594	0.005278	45.8692
HyCov-SD	300	0.009928	0.000000	0.025422	0.004388	47.8924
HyCov-SD	400	0.008357	0.000000	0.022825	0.003787	49.4130
HyCov-SD	500	0.011885	0.000000	0.029031	0.004931	46.2504
HyCov-SD	600	0.010632	0.000000	0.025425	0.004417	47.2285
HyCov-SD	700	0.009593	0.000000	0.023411	0.004023	48.1447
HyCov-SD	800	0.008588	0.000000	0.021324	0.003663	49.1382
HyCov-SD	900	0.007631	0.000000	0.019282	0.003294	50.1817
HyCov-SD	1000	0.006752	0.000000	0.018113	0.002963	51.2665
