Method	Point_Count	Average	Min	Max	Std	PSNR
SD-GLM	100	0.022511	0.000000	0.048789	0.008536	40.5571
SD-GLM	200	0.015796	0.000000	0.039450	0.006481	43.7870
SD-GLM	300	0.012672	0.000000	0.029883	0.005367	45.7514
SD-GLM	400	0.010716	0.000000	0.026427	0.004629	47.2341
SD-GLM	500	0.009332	0.000000	0.023117	0.004068	48.4413
SD-GLM	600	0.008288	0.000000	0.021485	0.003636	49.4741
SD-GLM	700	0.007476	0.000000	0.020033	0.003283	50.3666
SD-GLM	800	0.006804	0.000000	0.018422	0.002988	51.1777
SD-GLM	900	0.006243	0.000000	0.017304	0.002736	51.9207
SD-GLM	1000	0.005756	0.000000	0.016004	0.002509	52.6158
