Method	Point_Count	Average	Min	Max	Std	PSNR
SD-RCS	100	0.022477	0.000000	0.049219	0.008493	40.5654
SD-RCS	200	0.015850	0.000000	0.036901	0.006539	43.7433
SD-RCS	300	0.012726	0.000000	0.030676	0.005446	45.7345
SD-RCS	400	0.010758	0.000000	0.026482	0.004681	47.2162
SD-RCS	500	0.009360	0.000000	0.023747	0.004118	48.4332
SD-RCS	600	0.008303	0.000000	0.021732	0.003675	49.4765
SD-RCS	700	0.007476	0.000000	0.019639	0.003323	50.3906
SD-RCS	800	0.006806	0.000000	0.018528	0.003029	51.2050
SD-RCS	900	0.006227	0.000000	0.017256	0.002774	51.9766
SD-RCS	1000	0.005724	0.000000	0.015783	0.002546	52.7037
